2024-09-05 09:13:03.216538: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:03.216538: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:03.718101: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:03.719604: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:03.719604: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:04.223353: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:04.223353: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:04.223353: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:04.723389: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:04.723389: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:04.724559: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:05.238246: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:05.238246: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:05.238246: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:05.730859: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:05.730859: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:05.733874: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:06.242613: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:06.243773: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:06.243773: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:06.744982: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:06.746263: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:06.746263: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:07.245093: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:07.245093: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:07.245093: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:07.740909: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:07.740909: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:07.740909: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:08.256746: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:08.257535: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:08.257535: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:08.781844: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:08.785030: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:08.785642: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:09.274386: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:09.274386: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:09.276753: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:09.772132: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:09.772132: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:09.784599: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:10.287274: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:10.287274: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:10.288867: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:10.791593: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:10.791593: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:10.793256: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:11.296147: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:11.296147: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:11.299346: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:11.787638: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:11.787638: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:11.787638: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:12.288721: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:12.288721: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:12.288721: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:12.805541: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:12.807121: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:12.807121: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:13.327976: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:13.327976: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:13.330540: {'name': 'Illume Colony', 'pos': {'x': 666.0, 'y': 666.0}}
2024-09-05 09:13:13.808929: {'name': 'Azura Station', 'pos': {'x': -1000.0, 'y': 1000.0}}
2024-09-05 09:13:13.810820: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:14.316332: {'name': 'Core Station', 'pos': {'x': 0.0, 'y': 0.0}}
2024-09-05 09:13:26.443938: {'name': 'Aurora Station', 'pos': {'x': -11000.0, 'y': -11000.0}}
2024-09-05 09:13:26.948076: {'name': 'Aurora Station', 'pos': {'x': -11000.0, 'y': -11000.0}}
2024-09-05 09:13:27.447735: {'name': 'Aurora Station', 'pos': {'x': -11000.0, 'y': -11000.0}}
2024-09-05 09:13:27.978756: {'name': 'Aurora Station', 'pos': {'x': -11000.0, 'y': -11000.0}}
2024-09-05 09:13:28.461976: {'name': 'Aurora Station', 'pos': {'x': -11000.0, 'y': -11000.0}}
2024-09-05 09:13:28.963044: {'name': 'Aurora Station', 'pos': {'x': -11000.0, 'y': -11000.0}}
2024-09-05 09:13:29.470298: {'name': 'Aurora Station', 'pos': {'x': -11000.0, 'y': -11000.0}}
2024-09-05 09:13:29.970337: {'name': 'Aurora Station', 'pos': {'x': -11000.0, 'y': -11000.0}}
2024-09-05 09:13:30.475701: {'name': 'Aurora Station', 'pos': {'x': -11000.0, 'y': -11000.0}}
2024-09-05 09:13:30.970308: {'name': 'Aurora Station', 'pos': {'x': -11000.0, 'y': -11000.0}}
2024-09-05 09:13:36.043277: {'name': 'Station 11-A', 'pos': {'x': -16934.0, 'y': -18174.0}}
2024-09-05 09:13:36.553078: {'name': 'Station 11-A', 'pos': {'x': -16934.0, 'y': -18174.0}}
2024-09-05 09:13:37.048291: {'name': 'Station 11-A', 'pos': {'x': -16934.0, 'y': -18174.0}}
2024-09-05 09:13:37.572605: {'name': 'Station 11-A', 'pos': {'x': -16934.0, 'y': -18174.0}}
2024-09-05 09:13:38.059602: {'name': 'Station 11-A', 'pos': {'x': -16934.0, 'y': -18174.0}}
2024-09-05 09:13:38.567290: {'name': 'Station 11-A', 'pos': {'x': -16934.0, 'y': -18174.0}}
2024-09-05 09:13:39.065063: {'name': 'Station 11-A', 'pos': {'x': -16934.0, 'y': -18174.0}}
2024-09-05 09:13:39.595120: {'name': 'Station 11-A', 'pos': {'x': -16934.0, 'y': -18174.0}}
2024-09-05 09:13:40.070658: {'name': 'Station 11-A', 'pos': {'x': -16934.0, 'y': -18174.0}}
2024-09-05 09:14:43.869434: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:14:44.221926: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:14:44.788931: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:14:45.217609: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:14:45.704898: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:14:46.221897: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:14:46.809375: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:14:47.253344: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:14:47.738148: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:14:48.235186: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:14:48.757003: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
